id,key,name,text,pages,Group,platform,load,created_at,updated_at
678,kpi_target.button.add_kpi_target,en,Add KPI Target,kpi_target,button,any,f,,
679,kpi_target.heading.edit_kpi_target,en,Edit KPI Target,kpi_target,heading,any,f,,
680,kpi_target.heading.kpi_target_details,en,KPI Target Details,kpi_target,heading,any,f,,
681,kpi_target.label.indicator,en,Indicator,kpi_target,label,any,f,,
682,kpi_target.label.target_in,en,Target(in%),kpi_target,label,any,f,,
683,public_community_toilets.validation.the_total_number_of_seats_should_be_positive_value,en,The Total Number of Seats should be positive value.,public_community_toilets,validation,any,f,,
684,public_community_toilets.validation.the_total_number_of_urinals_must_be_an_integer,en,The Total Number of Urinals must be an integer.,public_community_toilets,validation,any,f,,
685,public_community_toilets.validation.the_total_number_of_urinals_should_be_positive_value,en,The Total Number of Urinals should be positive value.,public_community_toilets,validation,any,f,,
686,public_community_toilets.validation.the_no_of_seats_for_male_users_must_be_integer,en,The No. of Seats for Male Users must be integer.,public_community_toilets,validation,any,f,,
687,public_community_toilets.validation.the_no_of_seats_for_male_users_should_be_positive_value,en,The No. of Seats for Male Users should be positive value.,public_community_toilets,validation,any,f,,
688,public_community_toilets.validation.the_no_of_seats_for_female_users_must_be_integer,en,The No. of Seats for Female Users must be integer.,public_community_toilets,validation,any,f,,
689,public_community_toilets.validation.the_no_of_seats_for_female_users_should_be_positive_value,en,The No. of Seats for Female Users should be positive value.,public_community_toilets,validation,any,f,,
690,public_community_toilets.validation.the_no_of_seats_for_people_with_disability_must_be_an_integer,en,The No. of seats for People with Disability must be an integer.,public_community_toilets,validation,any,f,,
691,cwis.heading.cwis_indicators_monitoring_and_evaluation,en,CWIS Indicators Monitoring and Evaluation,cwis,heading,any,f,,
692,cwis.heading.cwis_monitoring_and_evaluation_indicators,en,CWIS Monitoring and Evaluation Indicators,cwis,heading,any,f,,
693,cwis.button.add_cwis_data,en,Add CWIS Data,cwis,button,any,f,,
694,cwis.button.export_to_excel,en,Export to Excel,cwis,button,any,f,,
695,cwis.label.population_with_access_to_safe_individual_toilets,en,Population with access to safe individual toilets,cwis,label,any,f,,
696,cwis.label.percentage_of_onsite_sanitation_that_have_been_desludged,en,Percentage of on-site sanitation that have been desludged,cwis,label,any,f,,
697,cwis.label.percentage_of_collected_fs_disposed_at_a_treatment_plants_or_at_designated_disposal_site,en,Percentage of collected FS disposed at a treatment plant or at designated disposal site,cwis,label,any,f,,
698,cwis.label.fs_treatment_capacity_as_a_percentage_of_total_fs_generated_from_nss_connections,en,FS treatment capacity as a percentage of total FS generated from NSS connections (excluding safely disposed in situ),cwis,label,any,f,,
699,cwis.label.fs_treatment_capacity_as_a_percentage_of_total_fs_collected_from_nss_connections,en,FS treatment capacity as a percentage of total FS collected from NSS connections,cwis,label,any,f,,
700,cwis.label.wastewater_treatment_capacity_as_a_percentage_of_total_wastewater_generated_from_sewered_connections_and_greywater_generated_from_nonsewered_connections,en,Wastewater treatment capacity as a percentage of total wastewater generated from sewered connections and greywater generated from non-sewered connections,cwis,label,any,f,,
701,cwis.label.effectiveness_of_fs_ww_treatment_in_meeting_prescribed_standards_for_effluent_discharge_and_biosolids_disposal,en,Effectiveness of FS/WW treatment in meeting prescribed standards for effluent discharge and biosolids disposal,cwis,label,any,f,,
702,cwis.label.percentage_lic_population_with_access_to_safe_individual_toilets,en,Percentage LIC population with access to safe individual toilets,cwis,label,any,f,,
703,cwis.label.percentage_of_lic_nss_ihhls_that_have_been_desludged,en,"Percentage of LIC, NSS, IHHLs that have been desludged",cwis,label,any,f,,
704,cwis.label.percentage_of_collected_fs_disposed_at_treatment_plants_or_designated_disposal_sites,en,Percentage of collected FS (collected from LIC) disposed at treatment plant or designated disposal sites,cwis,label,any,f,,
705,cwis.label.percentage_of_dependent_population_with_access_to_safe_shared_facilities,en,Percentage of dependent population (those without access to a private toilet/latrine) with access to safe shared facilities (CT/PT),cwis,label,any,f,,
706,cwis.label.percentage_of_cts_that_adhere_to_principles_of_universal_design,en,Percentage of CTs that adhere to principles of universal design,cwis,label,any,f,,
707,cwis.label.percentage_of_users_of_cts_that_are_women,en,Percentage of users of CTs that are women,cwis,label,any,f,,
708,cwis.label.average_distance_from_the_house_to_the_closest_ct,en,Average distance from the house to the closest CT (in meters),cwis,label,any,f,,
709,cwis.label.percentage_of_pts_where_fs_and_ww_generated_is_safely_transported_to_tp_or_safely_disposed_in_situ,en,Percentage of PTs where FS and WW generated is safely transported to TP or safely disposed in situ,cwis,label,any,f,,
710,cwis.label.percentage_of_pts_that_adhere_to_principles_of_universal_design,en,Percentage of PTs that adhere to principles of universal design,cwis,label,any,f,,
711,cwis.label.percentage_of_users_of_pts_that_are_women,en,Percentage of users of PTs that are women,cwis,label,any,f,,
712,cwis.label.percentage_of_educational_institutions_where_fs_ww_generated_is_safely_transported_to_tp_or_safely_disposed_in_situ,en,Percentage of educational institutions where FS/WW generated is safely transported to TP or safely disposed in situ,cwis,label,any,f,,
713,cwis.label.percentage_of_healthcare_facilities_where_fs_ww_generated_is_safely_transported_to_tp_or_safely_disposed_in_situ,en,Percentage of healthcare facilities where FS/WW generated is safely transported to TP or safely disposed in situ,cwis,label,any,f,,
714,cwis.label.percentage_of_desludging_services_completed_mechanically_or_semi_mechanically,en,Percentage of desludging services completed mechanically or semi-mechanically (by a gulper),cwis,label,any,f,,
715,cwis.label.percentage_of_tests_which_are_in_compliance_with_water_quality_standards_for_fecal_coliform,en,Percentage of tests which are in compliance with water quality standards for fecal coliform,cwis,label,any,f,,
716,cwis.label.indicators,en,Indicators,cwis,label,any,f,,
717,cwis.label.outcome,en,Outcome,cwis,label,any,f,,
718,cwis.label.value,en,Value,cwis,label,any,f,,
719,cwis.label.equity,en,Equity,cwis,label,any,f,,
720,cwis.label.safety,en,Safety,cwis,label,any,f,,
721,cwis_setting.heading.cwis_setting,en,CWIS Setting,cwis_setting,heading,any,f,,
722,cwis_setting.label.average_water_consumption,en,Average Water Consumption (LPCD),cwis_setting,label,any,f,,
723,cwis_setting.label.waste_water_conversion_factor,en,Waste Water Conversion Factor (%),cwis_setting,label,any,f,,
724,cwis_setting.label.greywater_conversion_factor_connected_to_sewer,en,Greywater Conversion Factor Connected To Sewer (%),cwis_setting,label,any,f,,
725,cwis_setting.label.greywater_conversion_factor_not_connected_to_sewer,en,Greywater Conversion Factor Not Connected To Sewer (%),cwis_setting,label,any,f,,
726,cwis_setting.label.fs_generation_from_containment_not_connected_to_sewer,en,FS Generation From Containment Not Connected To Sewer (LPCD),cwis_setting,label,any,f,,
727,cwis_setting.label.fs_generation_from_permeable_unlined_pit,en,FS Generation From Permeable/ Unlined Pit (LPCD),cwis_setting,label,any,f,,
728,export_data.heading.export_to_shape_file_or_kml,en,Export to Shape File or KML,export_data,heading,any,f,,
729,export_data.label.layers,en,Layers,export_data,label,any,f,,
730,export_data.label.select_wards,en,Select Wards,export_data,label,any,f,,
731,export_data.label.export_format,en,Export Format,export_data,label,any,f,,
732,users.heading.users,en,Users,users,heading,any,f,,
733,users.button.create_user,en,Create User,users,button,any,f,,
734,users.heading.edit_user,en,Edit User,users,heading,any,f,,
735,users.label.user_type,en,User Type,users,label,any,f,,
736,users.label.full_name,en,Full Name,users,label,any,f,,
737,users.label.gender,en,Gender,users,label,any,f,,
738,users.label.username,en,Username,users,label,any,f,,
739,users.label.help_desk,en,Help Desk,users,label,any,f,,
740,users.label.role,en,Role,users,label,any,f,,
741,public_community_toilets.validation.the_no_of_seats_for_people_with_disability_should_be_positive_value,en,The No. of seats for People with Disability should be positive value.,public_community_toilets,validation,any,f,,
742,public_community_toilets.validation.the_uses_fee_rate_must_be_numeric,en,The Uses Fee Rate must be numeric.,public_community_toilets,validation,any,f,,
743,public_community_toilets.validation.the_uses_fee_rate_should_be_positive_value,en,The Uses Fee Rate should be positive value.,public_community_toilets,validation,any,f,,
744,ptct_users_log.validation.the_toilet_name_is_required,en,The Toilet Name is required.,ptct_users_log,validation,any,f,,
745,ptct_users_log.validation.the_date_must_be_todays,en,The date must be todays.,ptct_users_log,validation,any,f,,
746,ptct_users_log.validation.the_no_of_male_users_is_required,en,The No. of Male Users is required.,ptct_users_log,validation,any,f,,
747,ptct_users_log.validation.the_no_of_male_users_must_be_numeric,en,The No. of Male Users must be numeric.,ptct_users_log,validation,any,f,,
748,ptct_users_log.validation.the_no_of_male_users_must_be_positive_value,en,The No. of Male Users must be positive value.,ptct_users_log,validation,any,f,,
749,ptct_users_log.validation.the_no_of_female_users_is_required,en,The No. of Female Users is required.,ptct_users_log,validation,any,f,,
750,ptct_users_log.validation.the_no_of_female_must_be_numeric,en,The No. of Female must be numeric.,ptct_users_log,validation,any,f,,
751,ptct_users_log.validation.the_no_of_female_must_be_positive_value,en,The No. of Female must be positive value.,ptct_users_log,validation,any,f,,
752,road_network.validation.the_road_length_must_be_a_number,en,The Road Length (m) must be a number.,road_network,validation,any,f,,
753,road_network.validation.the_carrying_width_of_the_road_must_be_a_number,en,The Carrying Width of the Road (m) must be a number.,road_network,validation,any,f,,
754,water_supply_network.validation.this_project_name_must_be_a_string,en,This Project Name must be a string.,water_supply_network,validation,any,f,,
755,water_samples.validation.the_sample_date_is_required,en,The Sample Date is required.,water_samples,validation,any,f,,
756,water_samples.validation.the_sample_location_is_required,en,The Sample Location is required.,water_samples,validation,any,f,,
757,water_samples.validation.the_water_coliform_test_result_is_required,en,The Water Coliform Test Result is required.,water_samples,validation,any,f,,
758,water_samples.validation.the_latitude_and_longitude_is_required,en,The Latitude and Longitude is required.,water_samples,validation,any,f,,
759,waterborne_hotspot.validation.hotspot_location_required,en,Hotspot Location required.,waterborne_hotspot,validation,any,f,,
760,waterborne_hotspot.validation.date_required,en,Date required.,waterborne_hotspot,validation,any,f,,
761,waterborne_hotspot.validation.infected_disease_required,en,Infected Disease required.,waterborne_hotspot,validation,any,f,,
762,waterborne_hotspot.validation.number_of_male_cases_required,en,Number of Male Cases required.,waterborne_hotspot,validation,any,f,,
763,waterborne_hotspot.validation.number_of_female_cases_required,en,Number of Female Cases required.,waterborne_hotspot,validation,any,f,,
